id,名称,地址,电话,经度_GCJ02,纬度_GCJ02,经度_WGS84,纬度_WGS84,投影X,投影Y,类型代码,类型名称,省份,城市,区域,营业时间,评分
B00179297D,海丰楼,新胜三村1幢1号,[],106.508572,29.511467,106.4906296,29.50443396,437058.4261,3264050.353,120201|120203,商务住宅;楼宇;商务写字楼|商务住宅;楼宇;商住两用楼宇,重庆市,重庆市,九龙坡区,,[]
B00178752K,祥和·如意居,杨渡村138(动物园地铁站2号口步行480米),[],106.508866,29.496689,106.4909291,29.48966102,437078.3273,3262413.299,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0JDMM0FAU,LAWSON罗森(九龙明珠店),西郊路33号(动物园地铁站1号口旁),18323451434,106.508979,29.500254,106.4910414,29.49322537,437091.415,3262808.18,60200,购物服务;便民商店/便利店;便民商店/便利店,重庆市,重庆市,九龙坡区,,4
B001791PYK,轻轨综合楼,杨家坪西交路29号(动物园轻轨车站旁),[],106.508987,29.499436,106.4910497,29.49240762,437091.7121,3262717.566,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0FFIBS0TX,融汇半岛观江,汇悦路与汇景路交叉口北240米,[],106.50916,29.474948,106.4912307,29.46792655,437094.1502,3260004.89,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0FFKAQJ81,鑫斛大药房(动物园轻轨站店),动物园轻轨站轻轨综合楼上游三村8号附7号,023-68036295,106.509125,29.499556,106.4911881,29.49252799,437105.2056,3262730.829,90601,医疗保健服务;医药保健销售店;药房,重庆市,重庆市,九龙坡区,,[]
B0J67UPREE,胡永兰口腔诊所,杨家坪街道上游三村8号附14号,023-89899958,106.509299,29.499468,106.4913627,29.49244053,437122.0784,3262721.043,90202,医疗保健服务;专科医院;口腔医院,重庆市,重庆市,九龙坡区,,[]
B0K31YNMFJ,蒂格门窗超市(融汇半岛江上公馆A区店),汇北路4号附6号江上公馆客服旁,18381940109,106.509525,29.473975,106.4915973,29.46695486,437129.0901,3259897.027,60603,购物服务;家居建材市场;建材五金市场,重庆市,重庆市,巴南区,,3.8
B0L1A7JL5K,金鼎大厦15栋,冶金一村15号金鼎大厦,[],106.509475,29.512625,106.4915353,29.50559428,437146.929,3264178.431,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0LRLNMRW2,金鼎大厦1单元,冶金路与彩虹路交叉口东北140米,[],106.509515,29.512661,106.4915754,29.50563039,437150.8404,3264182.41,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0FFI6QWTT,天乐时光A座,冶金一村15号金鼎大厦,[],106.509546,29.512416,106.4916066,29.50538555,437153.7113,3264155.264,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0FFGG6MP4,西郊三村,杨渡支路与西郊路交叉口南220米,[],106.509705,29.498055,106.4917705,29.49102911,437160.7391,3262564.434,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFH6LPF4,九龙坡蔬菜批发市场,杨渡村138号(动物园地铁站2号口步行450米),19282578946,106.509766,29.497001,106.491832,29.48997558,437166.0535,3262447.666,060703|060705,购物服务;综合市场;农副产品市场|购物服务;综合市场;蔬菜市场,重庆市,重庆市,九龙坡区,,4.3
B0LD4KHSOS,观江16期,汇悦路与汇景路交叉口东北260米,[],106.509925,29.474975,106.4919983,29.46795579,437168.5933,3260007.716,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0FFIDSL2U,毛线沟蔬菜批发市场,祥和如意居北3门东60米(动物园地铁站2号口步行360米),023-68419414;13996669999,106.509819,29.497122,106.4918852,29.4900967,437171.2798,3262461.058,060703|060705,购物服务;综合市场;农副产品市场|购物服务;综合市场;蔬菜市场,重庆市,重庆市,九龙坡区,,4.4
B0FFMBTPWB,融汇半岛江上公馆A区,汇滨一路与汇悦路交叉口东北160米,[],106.510072,29.473612,106.4921462,29.46659356,437182.0955,3259856.697,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0G0A7X9UN,重庆代国脚手架围挡,滩子口44号3-2-1号,13608368344,106.509967,29.497616,106.4920335,29.490591,437185.9656,3262515.748,60603,购物服务;家居建材市场;建材五金市场,重庆市,重庆市,九龙坡区,,3.9
B0I60LCV9F,传媒大厦,兴胜路与石坪桥正街交叉口西南180米,[],106.509997,29.512223,106.4920591,29.50519393,437197.4598,3264133.788,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0FFKOPGEV,九龙坡区招生办公室大楼,兴胜路与花半里路交叉口西南120米,[],106.510341,29.512584,106.4924042,29.50555584,437231.1272,3264173.702,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0I6BZI780,教育直属单位办公大楼,兴胜路与花半里路交叉口西南120米,[],106.510381,29.512638,106.4924443,29.50560994,437235.0491,3264179.675,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B00170316A,西郊三村杨渡小区,杨渡支路与西郊路交叉口东南280米,[],106.510493,29.497569,106.4925613,29.49054556,437237.1012,3262510.428,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFKR79AL,重庆冶金动力建筑安装工程公司综合大楼,[],[],106.510561,29.490474,106.4926317,29.48345268,437239.555,3261724.476,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,大渡口区,,[]
B0H04HBMY1,杨家坪动物园广夏经典逸民超市,杨家坪街道西郊路28号1栋1层11号,15808019890,106.510531,29.49924,106.4925989,29.49221621,437241.7775,3262695.521,60200,购物服务;便民商店/便利店;便民商店/便利店,重庆市,重庆市,九龙坡区,,3.8
B0L2R5M1F4,凌云商务1号楼,西郊支路与桃花溪街交叉口东北60米,[],106.510851,29.504805,106.4929183,29.49778058,437276.1652,3263311.9,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0K3H93SE7,名酒收购中心,杨家坪街道桃花溪A座3号(附3号),18723189800,106.510915,29.504479,106.4929826,29.49745486,437282.1988,3263275.774,61210,购物服务;专卖店;烟酒专卖店,重庆市,重庆市,九龙坡区,,3.9
B0FFFADZAQ,锦怡国际,杨家坪西郊路24号,[],106.510922,29.503723,106.4929899,29.4966991,437282.4365,3263192.029,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0LBT6300X,笑心堂大药房,广厦经典西北门旁(动物园地铁站2号口步行170米),13797697952,106.511018,29.499276,106.4930876,29.49225362,437289.1673,3262699.404,90601,医疗保健服务;医药保健销售店;药房,重庆市,重庆市,九龙坡区,,[]
B0JB31HTHL,九龙坡区供销社-综合楼,西郊支路与桃花溪街交叉口北140米,[],106.510986,29.505411,106.4930536,29.49838681,437289.6507,3263378.999,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B00178TWYA,天赐佳园,西郊路56号,[],106.511043,29.503331,106.4931114,29.49630756,437293.9754,3263148.58,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0G0FRBMMJ,布尔动物医院,汇滨一路240号,13996728586,106.511231,29.473103,106.4933093,29.46608808,437294.5576,3259800.062,90701,医疗保健服务;动物医疗场所;宠物诊所,重庆市,重庆市,巴南区,,4.4
B0FFGAZL7Z,融汇半岛江上公馆,汇滨二路与融汇大道交叉口,[],106.511253,29.47422,106.493331,29.46720487,437297.3519,3259923.794,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,3.5
B00170A0NU,广厦经典,西郊路28号(动物园地铁站2号口步行300米),[],106.511122,29.499016,106.493192,29.491994,437299.1306,3262670.58,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0L2O5WECJ,锦怡B座,杨家坪西郊路24号锦怡国际,[],106.511125,29.503675,106.4931936,29.49665171,437302.1525,3263186.668,120201|120302,商务住宅;楼宇;商务写字楼|商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0L3VHIWBW,中阳大厦4栋,石坪桥正街2号中阳大厦(石坪桥地铁站1A口步行420米),[],106.511295,29.513786,106.493361,29.50676028,437324.6116,3264306.642,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0FFKPFVA8,善仁堂国医馆(西流沱店),汇北路239号附6号1-1-6,13320286555,106.511533,29.476066,106.4936114,29.46905123,437325.6731,3260128.225,90300,医疗保健服务;诊所;诊所,重庆市,重庆市,巴南区,,[]
B0JGFZJ1LB,户外陶瓷解忧杂货店,李家沱融汇半岛西流沱古镇243号附7号2-5,15223423704;17338336797,106.511694,29.476282,106.4937729,29.46926765,437341.4628,3260152.118,60000,购物服务;购物相关场所;购物相关场所,重庆市,重庆市,巴南区,,3.6
B0LGXLDY56,桃花溪A座,西郊支路与西郊路交叉口西80米,[],106.511525,29.504375,106.4935947,29.49735268,437341.4671,3263264.122,120201|120302,商务住宅;楼宇;商务写字楼|商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0I6JR33RZ,饿了么全能超市-和平药房(汇宾一路店),汇宾一路241号,023-66283501,106.511755,29.473657,106.4938349,29.46664348,437345.8619,3259861.319,90601,医疗保健服务;医药保健销售店;药房,重庆市,重庆市,巴南区,,[]
B0J1AZ2PHJ,重庆医药集团和平药房汇宾一路店,汇宾一路241号,023-66283501,106.511765,29.473589,106.4938449,29.46657552,437346.795,3259853.784,90601,医疗保健服务;医药保健销售店;药房,重庆市,重庆市,巴南区,,[]
B001790LJU,汇景苑,西郊路29号(动物园地铁站1号口步行420米),[],106.511724,29.50154,106.4937952,29.49451906,437359.1622,3262950.04,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFGIC0QM,力扬国际B座,杨家坪兴胜路55号(力扬国际),13618330794,106.511698,29.510302,106.4937665,29.50327848,437361.7637,3263920.628,120201|120203,商务住宅;楼宇;商务写字楼|商务住宅;楼宇;商住两用楼宇,重庆市,重庆市,九龙坡区,,[]
B00170I24T,和平药房(西郊店),杨家坪西郊路广厦经典21-8号,[],106.511826,29.499414,106.4938982,29.49239395,437367.8387,3262714.515,90601,医疗保健服务;医药保健销售店;药房,重庆市,重庆市,九龙坡区,,[]
B00178367Q,宝岛眼镜(杨家坪印象汇店),杨家坪西郊三村2号2层02-31号,023-68780653,106.511921,29.499884,106.4939934,29.4928641,437377.3539,3262766.558,61204,购物服务;专卖店;眼镜店,重庆市,重庆市,九龙坡区,,3.6
B0H09DL64F,美万佳大药房,李家沱街道汇宾一路259号,[],106.512087,29.473742,106.494168,29.46672942,437378.2117,3259870.663,90601,医疗保健服务;医药保健销售店;药房,重庆市,重庆市,巴南区,,[]
B0LUD7CV9U,杨家坪街道社区卫生服务中心西郊三村社区卫生服务站,西郊路29号附9号,[],106.511928,29.501386,106.494,29.4943657,437378.9138,3262932.937,90000,医疗保健服务;医疗保健服务场所;医疗保健服务场所,重庆市,重庆市,九龙坡区,,[]
B0JGRZ2HL5,蒲公英(动物园店),杨家坪西郊三村2号印象汇01层47号,15102327317,106.511942,29.500735,106.4940142,29.49371492,437379.8945,3262860.821,061100|050000,购物服务;服装鞋帽皮具店;服装鞋帽皮具店|餐饮服务;餐饮相关场所;餐饮相关,重庆市,重庆市,九龙坡区,,4.2
B0FFF3951C,融汇半岛·玫瑰公馆,融汇大道,[],106.512134,29.472407,106.4942155,29.46539489,437382.004,3259722.767,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0FFIIUWB6,龙凤药房(融汇店),融汇半岛江上公馆B区东南门旁,023-66230594,106.512133,29.473731,106.4942141,29.46671856,437382.6806,3259869.434,90601,医疗保健服务;医药保健销售店;药房,重庆市,重庆市,巴南区,,[]
B0JB31HT5F,民主党派大楼,西郊路与桃花溪街交叉口西40米,[],106.511956,29.504029,106.4940272,29.49700803,437383.1839,3263225.702,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0FFHGUOVA,万和医药(九龙广场店),西郊路西郊三村2号印象汇(九龙坡店)F2层,023-68412028;023-68780249;13752838489,106.512005,29.50029,106.4940776,29.49327023,437385.7617,3262811.513,90601,医疗保健服务;医药保健销售店;药房,重庆市,重庆市,九龙坡区,,[]
B0HUBADTXS,满足里修脚连锁(重庆融汇半岛店),李家沱街道汇宾一路253号,18375892582,106.512171,29.47374,106.4942523,29.46672767,437386.3828,3259870.423,90000,医疗保健服务;医疗保健服务场所;医疗保健服务场所,重庆市,重庆市,巴南区,,4.1
B0HRP55LC7,智声助听器(重庆旗舰店),杨家坪街道西郊路50号附2号,023-68960952;18008323840,106.511999,29.503968,106.4940704,29.49694718,437387.3304,3263218.935,90602,医疗保健服务;医药保健销售店;医疗保健用品,重庆市,重庆市,九龙坡区,,[]
B0JBY5Q30D,融汇半岛江上公馆B区,融汇大道与汇滨一路交叉口西140米,[],106.512182,29.474719,106.494263,29.46770646,437388.0252,3259978.87,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0HU77Z2ZL,小米之家(九龙坡区印象汇专卖店),杨家坪街道重庆重庆市九龙坡区西郊路29号(印象汇小米之家),023-68493156,106.51204,29.500672,106.4941126,29.49365222,437389.3895,3262853.821,60305,购物服务;家电电子卖场;手机销售,重庆市,重庆市,九龙坡区,,3.8
B0I3Y7KQH2,家和养生汇,李家沱街道融汇大道博文二路109号,18523075678,106.51238,29.471224,106.4944627,29.46421289,437405.2462,3259591.666,90000,医疗保健服务;医疗保健服务场所;医疗保健服务场所,重庆市,重庆市,巴南区,,[]
B0G1S7AR2B,新世纪超市(重庆九龙坡印象汇店),九龙坡区杨家坪西郊三村2号印象汇2楼(动物园正对面),023-86823308,106.512229,29.500296,106.4943023,29.49327688,437407.5524,3262812.13,060102|060400,购物服务;商场;普通商场|购物服务;超级市场;超市,重庆市,重庆市,九龙坡区,,4.3
B0FFJNOU29,重庆九龙坡印象汇,杨家坪西郊三村2号(动物园地铁站2号口步行280米),023-86638086,106.512284,29.500433,106.4943575,29.493414,437412.982,3262827.293,60102,购物服务;商场;普通商场,重庆市,重庆市,九龙坡区,,4.6
B0K0MUMD3B,愈康康复中心(九龙坡印象汇店),杨家坪西郊三村2号重庆九龙坡印象汇,15310551628,106.512287,29.500436,106.4943605,29.49341701,437413.2755,3262827.625,90000,医疗保健服务;医疗保健服务场所;医疗保健服务场所,重庆市,重庆市,九龙坡区,,[]
B0017926GG,信合大厦,西郊路80中旁(杨家坪地铁站2号口步行370米),[],106.512285,29.504771,106.4943571,29.49775078,437415.6166,3263307.823,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0FFKCPHGL,保利时代广场A座,花半里路与兴胜路交叉口东60米,[],106.512269,29.513224,106.4943385,29.50620129,437419.0057,3264244.178,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0KRC9DTSC,泽泰口腔(九龙坡印象汇店),杨家坪街道西郊三村2号第02-18-20号商铺,023-68188860;19112966609,106.512358,29.499722,106.4944319,29.49270342,437419.7637,3262748.518,90202,医疗保健服务;专科医院;口腔医院,重庆市,重庆市,九龙坡区,,[]
B001799H0Z,高新区人民医院(下石桥门诊部),西郊三村1号公务员小区3栋,023-68780722,106.512354,29.501331,106.4944274,29.49431196,437420.3156,3262926.752,90300,医疗保健服务;诊所;诊所,重庆市,重庆市,九龙坡区,,[]
B00179465Y,荣州苑商务楼,新胜一村6幢附1号(杨家坪地铁站1号口步行480米),[],106.512375,29.511046,106.4944455,29.50402424,437428.0403,3264002.896,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0FFGE82TY,杨家坪力扬国际,兴胜路55号(杨家坪地铁站5号口步行290米),[],106.512436,29.509974,106.494507,29.50295273,437433.3457,3263884.136,120203|120201,商务住宅;楼宇;商住两用楼宇|商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0KBN1GH32,LAWSON罗森(杨家坪中学店),西郊大厦东南门西南50米(杨家坪地铁站1号口步行220米),[],106.512502,29.506091,106.4945744,29.49907104,437437.4937,3263453.995,60200,购物服务;便民商店/便利店;便民商店/便利店,重庆市,重庆市,九龙坡区,,3.9
B00170J9AM,融汇西流沱,李家沱汇北路,023-62298809,106.512749,29.476769,106.4948313,29.4697576,437444.3847,3260205.837,61000,购物服务;特色商业街;特色商业街,重庆市,重庆市,巴南区,,4.1
B0FFGX4TMX,融汇半岛艾德公馆,李家沱融汇大道5号(长江大桥南桥头),023-62595598,106.512803,29.470424,106.4948874,29.46341432,437445.9333,3259502.953,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[]
B0L2OHV1ZI,原工学院,兴胜路与花半里路交叉口东100米,[],106.512575,29.512875,106.4946456,29.50585328,437448.5605,3264205.453,141201,科教文化服务;学校;高等院校,重庆市,重庆市,九龙坡区,,2.8
B0FFK8GNX9,保利时代广场B座,兴胜路与兴胜支路交叉口北100米,[],106.512588,29.512864,106.4946587,29.50584232,437449.8184,3264204.231,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B00170AGWI,西郊大厦(西郊支路),前进路38号(杨家坪地铁站1号口步行170米),023-68426727,106.512717,29.506445,106.4947901,29.49942556,437458.6111,3263493.162,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0FFLBRUR2,巴南古理中医综合诊所,融汇大道307号,13436119392,106.513065,29.474521,106.495149,29.46751108,437473.8148,3259956.746,90300,医疗保健服务;诊所;诊所,重庆市,重庆市,巴南区,,[]
B0JDGSRJ2F,鑫斛大药房(江上公馆店),融汇大道293号,023-62334840,106.513075,29.474125,106.4951592,29.46711521,437474.5566,3259912.876,90601,医疗保健服务;医药保健销售店;药房,重庆市,重庆市,巴南区,,[]
B0FFLIQUDR,大白牙口腔(融汇店),融汇大道301号,023-62869878;023-66240318,106.513108,29.474099,106.4951923,29.46708931,437477.7519,3259909.989,90202,医疗保健服务;专科医院;口腔医院,重庆市,重庆市,巴南区,,[]
B00178TWYB,西城镜园,杨家坪西郊三村1号8幢(动物园地铁站1号口步行440米),[],106.512945,29.502166,106.4950201,29.49514844,437478.2856,3263019.119,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,4.2
B0FFJKBXXN,美好家园,杨家坪街道桃花溪街74号(杨家坪地铁站2号口步行390米),[],106.512935,29.504367,106.4950094,29.49734879,437478.599,3263262.931,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[]
B0FFFRRHAG,蔡氏专业理疗坊,西郊三村1号4幢附4号(动物园地铁站2号口步行420米),15023077957,106.512962,29.501228,106.4950375,29.49421075,437479.391,3262915.211,90000,医疗保健服务;医疗保健服务场所;医疗保健服务场所,重庆市,重庆市,九龙坡区,,3.8
B0LR0OP0A1,盾安九龙都L楼,兴胜路与兴胜支路交叉口东北60米,[],106.513025,29.512125,106.4950973,29.50510481,437491.8853,3264122.277,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0FFIOWOOU,三夫人优选超市(杨家坪西郊店),西郊路24巷25号阳光馨苑,17353154798,106.513107,29.505135,106.4951818,29.49811707,437495.7762,3263347.966,060200|060400,购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,重庆市,重庆市,九龙坡区,,4
B0L6NM41O8,好想来零食乐园(重庆九龙坡区西郊路店),杨家坪街道西郊路24巷27号附7号,4000107777,106.513113,29.50502,106.4951878,29.49800212,437496.2926,3263335.226,61200,购物服务;专卖店;专营店,重庆市,重庆市,九龙坡区,,4.3
B0FFIJWI91,谊品生鲜折扣店(融汇大道店),融汇大道11号靠近融汇半岛·玫瑰公馆,15826171250;15922839167,106.513315,29.473136,106.4954003,29.46612715,437497.3286,3259803.267,60703,购物服务;综合市场;农副产品市场,重庆市,重庆市,巴南区,,3.7
B0L0NMR633,凤梧超市(玫瑰公馆店),融汇大道11号,[],106.513318,29.473136,106.4954033,29.46612716,437497.6205,3259803.266,60200,购物服务;便民商店/便利店;便民商店/便利店,重庆市,重庆市,巴南区,,3.9
B0H3M78537,渝隆创新大厦,前进支路15号(杨家坪地铁站5号口步行260米),[],106.513183,29.509851,106.4952566,29.50283194,437505.9226,3263870.349,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0I6178798,厚爱牙科厚爱口腔医院杨家坪分院,西郊路24巷27号,18983749506,106.513213,29.505209,106.4952881,29.49819136,437506.1288,3263356.14,90202,医疗保健服务;专科医院;口腔医院,重庆市,重庆市,九龙坡区,,[]
B0MG272N1G,桃花溪G座,桃花溪街与西郊路交叉口东南140米,[],106.513275,29.503175,106.4953509,29.49615812,437510.971,3263130.816,120201,商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0L377M0S6,桃花溪D座,桃花溪街与西郊路交叉口东80米,[],106.513275,29.504025,106.4953507,29.49700788,437511.4674,3263224.973,120302|120201,商务住宅;住宅区;住宅小区|商务住宅;楼宇;商务写字楼,重庆市,重庆市,九龙坡区,,[]
B0JKMH6ZJD,牙舵手·康悦美口腔(融汇店),融汇大道287号1层,023-62579766,106.513496,29.473093,106.4955819,29.46608468,437514.9128,3259798.464,90202,医疗保健服务;专科医院;口腔医院,重庆市,重庆市,巴南区,,[]
B0H135L026,金渝超市(融汇店),李家沱街道融汇大道259号,023-62335858,106.51357,29.471681,106.4956566,29.46467324,437521.2887,3259642.033,60400,购物服务;超级市场;超市,重庆市,重庆市,巴南区,,4.4
B0FFHRWIXH,远鸿五金建材(西郊路24巷),西郊路17号四季花园(杨家坪地铁站2号口步行290米),15802397005,106.513426,29.505331,106.4955018,29.49831394,437526.916,3263369.608,60603,购物服务;家居建材市场;建材五金市场,重庆市,重庆市,九龙坡区,,3.9
