Area_m2,Radius_m,Center_X,Center_Y,Elevation
3145.88,31.64,443308.6,3259261.01,3
366.24,10.8,441690.7,3259329.3,3
214.53,8.26,438493.35,3259354.64,3
109.16,5.89,441677.58,3259344.02,3
192.74,7.83,443749.76,3259336.34,3
361.24,10.72,438525.17,3259362.94,3
804.09,16,438631,3259366.18,3
111.44,5.96,438531.46,3259378.33,3
71.62,4.77,442551.15,3259360.97,3
77.19,4.96,443739.47,3259355,3
67.22,4.63,443751.07,3259360.72,3
89.31,5.33,442584.8,3259366.53,3
254.25,9,442569.75,3259369.23,3
197.5,7.93,442612.88,3259388.24,3
38.47,3.5,442948.43,3259390.74,3
51.58,4.05,438277.64,3259422.6,3
193.5,7.85,442608.99,3259398.35,3
66.59,4.6,438250.77,3259429.71,3
196.25,7.9,442605.55,3259409.36,3
139.41,6.66,443544.67,3259410.46,3
183.63,7.65,442955.04,3259412.49,3
177.19,7.51,442600.78,3259418.8,3
737.1,15.32,442570.63,3259407.59,3
24.01,2.76,439723.31,3259449.65,3
185.33,7.68,438269.78,3259455.54,3
67.83,4.65,443808.44,3259432.64,3
488.77,12.47,442640.95,3259436.82,3
380.57,11.01,442680.26,3259436.68,3
193.42,7.85,442608.38,3259442.15,3
147.98,6.86,442617.49,3259444.52,3
53.39,4.12,439812.78,3259466.58,3
39.8,3.56,438926.54,3259480.59,3
213.21,8.24,442661.41,3259460.16,3
100.09,5.64,438419.64,3259497.26,3
43.62,3.73,441290,3259491.74,3
142.81,6.74,438433.59,3259511.97,3
154.36,7.01,438230.18,3259514.2,3
38.05,3.48,441732.65,3259503.25,3
222.07,8.41,439803.44,3259518.05,3
35.99,3.38,442152.19,3259511.96,3
58.93,4.33,442176.91,3259526.31,3
271.62,9.3,441877.94,3259531.12,3
60.95,4.4,442157.38,3259539.05,3
55.7,4.21,441369.82,3259546.58,3
110.99,5.94,441831.91,3259543.59,3
260.57,9.11,441851.26,3259541.16,3
205.62,8.09,439954.42,3259559.99,3
87.1,5.27,443598.2,3259540.11,3
698.83,14.91,442140.8,3259534.01,3
103.28,5.73,441820.86,3259548.21,3
228.01,8.52,442161.07,3259558.97,3
236.26,8.67,441913.39,3259562.5,3
950.94,17.4,441925.26,3259543.77,3
33.08,3.24,441374.77,3259574.73,3
103.45,5.74,441819.75,3259578.25,3
715.39,15.09,439680.85,3259588.1,3
270.63,9.28,441944.4,3259592.52,3
147.35,6.85,441147.19,3259596.08,3
30.37,3.11,441383.69,3259602.26,3
210.07,8.18,443631.12,3259581.49,3
26.78,2.92,441044.63,3259608.54,3
153.4,6.99,441820.07,3259600.56,3
65.42,4.56,441272.42,3259608.44,3
54.84,4.18,441373.89,3259607.09,3
424.9,11.63,438840.71,3259625.63,3
138.15,6.63,441062.45,3259608.2,3
40.22,3.58,441150.43,3259616.93,3
20.37,2.55,441316.7,3259625.24,3
43.07,3.7,441063.67,3259625.18,3
322.23,10.13,441913.99,3259625.09,3
136.68,6.6,439256.55,3259634.79,3
245.46,8.84,439186.5,3259637.8,3
65.55,4.57,439202.23,3259641.63,3
21.57,2.62,440940.06,3259637.88,3
273.85,9.34,441070.93,3259631.98,3
81.59,5.1,439167.59,3259651.82,3
205.04,8.08,441807.24,3259631.67,3
279.72,9.44,441917.29,3259647.72,3
369.55,10.85,441082.11,3259649.02,3
155.77,7.04,441954.6,3259647.2,3
294.37,9.68,441917.78,3259658.33,3
64.07,4.52,441107.34,3259669.58,3
585.41,13.65,440936.01,3259651.49,3
38.6,3.51,441191.5,3259674.41,3
277.71,9.4,441921.16,3259672.72,3
24.93,2.82,441201.61,3259679.26,3
126.46,6.34,441946.3,3259670.89,3
92.71,5.43,441709.15,3259674.3,3
590.8,13.71,439126.79,3259677.96,3
1450.99,21.49,442275.45,3259659.3,3
643.35,14.31,441998.17,3259676.39,3
100.12,5.65,441948.02,3259686.58,3
277.71,9.4,441923.06,3259687.92,3
130.51,6.45,441161.21,3259690.79,3
108.89,5.89,442349.93,3259695.89,3
281.26,9.46,441924.5,3259702.58,3
263.35,9.16,443654.85,3259693.37,3
204.23,8.06,443734.58,3259696.27,3
110.87,5.94,443656.35,3259707.88,3
918.61,17.1,443340.74,3259689.95,3
279.03,9.42,441926.61,3259718.19,3
31.48,3.17,441464.93,3259722.87,3
109.36,5.9,443667.36,3259712.43,3
36.9,3.43,441490.73,3259726.79,3
382.88,11.04,441973.63,3259713.34,3
30.51,3.12,440939.87,3259736.34,3
262.41,9.14,443679.31,3259722.26,3
62.75,4.47,441985.48,3259738.61,3
49.61,3.97,441974.84,3259741.43,3
289.69,9.6,441383.74,3259743.06,3
262.03,9.13,442346.15,3259734.79,3
124.48,6.29,442184.63,3259745.5,3
136.51,6.59,442324.31,3259746.47,3
279.08,9.43,441372.41,3259760.66,3
34.23,3.3,441676.64,3259771.76,3
217.85,8.33,443464.04,3259757.56,3
330.45,10.26,443505.87,3259760.59,3
310.43,9.94,443311.29,3259764.9,3
89.68,5.34,442520.97,3259782.3,3
326.67,10.2,443484.21,3259772.83,3
58.96,4.33,439088.69,3259804.92,3
217.52,8.32,439145.83,3259798.79,3
72.92,4.82,442076.51,3259795.39,3
199.09,7.96,443328.46,3259794.48,3
217.11,8.31,439169.66,3259815,3
392.28,11.17,442195.64,3259799.76,3
35.19,3.35,440887.33,3259817.7,3
276.17,9.38,441743.55,3259801.49,3
267.49,9.23,442006.69,3259814.13,3
109.6,5.91,442064.61,3259810.61,3
119.94,6.18,442074.77,3259811.67,3
152.06,6.96,442086.45,3259813.96,3
41.61,3.64,441208.12,3259835.22,3
183.82,7.65,442102.95,3259826.53,3
109.61,5.91,442067.22,3259830.7,3
110.9,5.94,442077.95,3259831.2,3
299.41,9.76,441483.88,3259836.93,3
138.64,6.64,441584.03,3259836.06,3
221.51,8.4,443684.32,3259822.95,3
36.57,3.41,440885.65,3259842.17,3
82.3,5.12,441619.78,3259839.29,3
117.46,6.11,442392.38,3259840.85,3
379.01,10.98,441386.27,3259842.05,3
36.07,3.39,441824.26,3259857.1,3
101.31,5.68,441844.8,3259855.21,3
85.09,5.2,441833.22,3259856.23,3
63.19,4.48,442400.5,3259855.51,3
70.91,4.75,438081.09,3259878.23,3
40.83,3.61,440969.76,3259867.95,3
62.07,4.44,438736.93,3259884.15,3
38.55,3.5,441670.45,3259873.35,3
14.02,2.11,441511.95,3259876.58,3
22.42,2.67,441369.13,3259878.14,3
91.23,5.39,438869.58,3259888.96,3
61.49,4.42,441960.93,3259874.8,3
175.92,7.48,442675.26,3259867.48,3
25.76,2.86,440542.89,3259894.33,3
94.52,5.49,438113.82,3259904.07,3
30.63,3.12,441356.83,3259894.19,3
88.73,5.31,443725.84,3259881.35,3
83.02,5.14,443928.38,3259880.39,3
92.58,5.43,438089.76,3259912.84,3
128.17,6.39,438805.81,3259918.51,3
551.12,13.24,441619.99,3259909.36,3
48.42,3.93,441348.95,3259922.74,3
564.31,13.4,441697.85,3259894.74,3
61.24,4.42,440675.94,3259933.47,3
37.57,3.46,441339.91,3259944.62,3
26.8,2.92,440571.06,3259949.4,3
1103.73,18.74,443191.47,3259939.95,3
88.62,5.31,443466.28,3259955.12,3
540.71,13.12,441649.76,3259959.36,3
74.22,4.86,441744.32,3259973.78,3
989.45,17.75,438736.41,3259970.34,3
107.82,5.86,440555.9,3259984.24,3
39.37,3.54,441000.79,3259983.26,3
543.67,13.16,439427.38,3259994.82,3
18.8,2.45,440758.23,3259992.56,3
76.01,4.92,442016.06,3259985.62,3
41.62,3.64,441301.35,3260008.42,3
41.82,3.65,441279.94,3260009.34,3
40.63,3.6,441276.02,3260025,3
68.77,4.68,441523.57,3260030.64,3
165.39,7.26,443642.01,3260002.83,3
133.87,6.53,440805.13,3260042.01,3
219.1,8.35,441347.47,3260036.41,3
77.06,4.95,441191.32,3260045.82,3
16.95,2.32,440453.17,3260057.62,3
22.38,2.67,441896.8,3260055.13,3
268.1,9.24,443902.19,3260040.05,3
191.87,7.81,442015.5,3260054.91,3
32.13,3.2,441357.98,3260062,3
103.44,5.74,441783.43,3260069.48,3
612.6,13.96,438785.17,3260078.83,3
494.46,12.55,442471.99,3260063.43,3
166.94,7.29,438302.97,3260096.91,3
164.37,7.23,441768.68,3260079.37,3
132.58,6.5,439804.07,3260098.87,3
428.66,11.68,439413.95,3260108.44,3
81.64,5.1,441932.74,3260098.71,3
136.94,6.6,442035.17,3260099.44,3
444.12,11.89,442057.9,3260099.83,3
63.72,4.5,442121.15,3260106.96,3
34.83,3.33,441937.92,3260111.32,3
30.92,3.14,443835.15,3260107.54,3
103.64,5.74,443787.24,3260104.25,3
59.9,4.37,441194.32,3260127.6,3
340.36,10.41,442769.8,3260116.67,3
50.37,4,440877.87,3260134.56,3
212.71,8.23,439707.38,3260137.34,3
526.66,12.95,441474.64,3260128.79,3
89.83,5.35,442745.01,3260135.75,3
416.9,11.52,443811.13,3260129.88,3
718.12,15.12,443785.99,3260125.9,3
89.15,5.33,440474.45,3260159.06,3
596.72,13.78,441375.6,3260154.14,3
190.03,7.78,441530.78,3260156.99,3
789.7,15.85,442812.3,3260143.68,3
439.17,11.82,439393.91,3260172.99,3
49.71,3.98,440539.88,3260176.83,3
337.74,10.37,442742.28,3260158.31,3
174.84,7.46,441309.18,3260172.73,3
307.06,9.89,443769.3,3260161.13,3
201.09,8,443796.92,3260162.5,3
75.54,4.9,443706.19,3260170.13,3
54.14,4.15,439000.62,3260195.84,3
131.77,6.48,443724.99,3260172.58,3
97.18,5.56,440823.28,3260187.24,3
292.6,9.65,440951.37,3260177.68,3
69.63,4.71,440935.91,3260190.67,3
49.1,3.95,443430.05,3260185.48,3
204.59,8.07,440683.68,3260192.89,3
29.21,3.05,443432.48,3260197.03,3
55.65,4.21,441127.32,3260218.2,3
193.88,7.86,443423.54,3260195.57,3
104.8,5.78,440935.32,3260217.26,3
81.26,5.09,440994.31,3260216,3
209.94,8.17,443367.59,3260205.35,3
92.4,5.42,443441.52,3260208.7,3
629.71,14.16,440260.55,3260215.42,3
20.46,2.55,438561.25,3260241.13,3
38.87,3.52,441253.55,3260231.18,3
50.84,4.02,441942.62,3260235.9,3
84.39,5.18,440961.4,3260242.09,3
135.65,6.57,438316.64,3260269.26,3
3033.52,31.07,443652.28,3260187.74,3
232.51,8.6,438338.61,3260266.99,3
437.43,11.8,438363.26,3260269.72,3
41.72,3.64,441341.5,3260260.34,3
65.13,4.55,442184.42,3260255.28,3
23.74,2.75,441346.71,3260266.24,3
158.78,7.11,440866.38,3260265.84,3
56.64,4.25,441557.05,3260268.95,3
27.62,2.97,441522.86,3260277.19,3
18.19,2.41,441513.91,3260280.81,3
116.3,6.08,441790.53,3260274.25,3
67.85,4.65,438140.83,3260299.2,3
77.96,4.98,438155.41,3260302.36,3
55.66,4.21,438016.92,3260307.6,3
29.37,3.06,441385.03,3260289.24,3
72.44,4.8,438100.33,3260306.6,3
47.1,3.87,438144.12,3260315.66,3
710.84,15.04,440698.07,3260259.82,3
62.56,4.46,438134.78,3260321.74,3
93.7,5.46,440952.72,3260307.37,3
99.99,5.64,441026.28,3260310.45,3
83.04,5.14,443450.11,3260297.91,3
27.57,2.96,440917.77,3260314.35,3
58.19,4.3,440827.8,3260313.67,3
60.96,4.41,440945.17,3260314.12,3
144.85,6.79,440961.29,3260316.98,3
21.89,2.64,440873.85,3260326.91,3
183.35,7.64,440614.75,3260326.36,3
13.48,2.07,440868.3,3260333.01,3
39.86,3.56,440876.34,3260331.29,3
134.38,6.54,440968.71,3260334.38,3
141.01,6.7,442169.52,3260331.74,3
41.96,3.65,442563.1,3260350.34,3
13.39,2.06,442306.45,3260358.41,3
27.78,2.97,442248.75,3260357.82,3
76.78,4.94,442588.33,3260352.34,3
81.97,5.11,442572.66,3260353.79,3
152.76,6.97,440488.59,3260367.21,3
240.76,8.75,439176.53,3260374.45,3
106.56,5.82,442136.83,3260368.2,3
98.94,5.61,439195.49,3260384.67,3
71.37,4.77,442101.11,3260372.77,3
345.55,10.49,438105.05,3260385.02,3
204.76,8.07,442177.36,3260370.67,3
47.08,3.87,440839.72,3260382.91,3
79.46,5.03,442137.61,3260378.79,3
95.38,5.51,438109.97,3260407,3
91,5.38,439188.01,3260402.04,3
31.47,3.16,440429.9,3260404.47,3
117.55,6.12,442694.16,3260388.39,3
228.01,8.52,438094.01,3260417.16,3
121.06,6.21,440419.63,3260413.59,3
1929.23,24.78,441037.27,3260399.6,3
78.2,4.99,442638.67,3260409.84,3
2688.32,29.25,442086.9,3260407.72,3
145.22,6.8,441208.11,3260442.83,3
553.9,13.28,442751.7,3260430.36,3
35.33,3.35,440632.04,3260470.09,3
144.02,6.77,442634.21,3260459.58,3
475.14,12.3,440798.05,3260461.21,3
98.59,5.6,440638.01,3260477.96,3
107.09,5.84,441652.43,3260476.93,3
39.68,3.55,443913.78,3260471.32,3
351.3,10.57,440802.6,3260487.51,3
656.32,14.45,440616.64,3260484.99,3
53.68,4.13,442285.97,3260492.51,3
36.84,3.42,440493.33,3260511.13,3
138.93,6.65,441051.61,3260504.67,3
191.03,7.8,443704.65,3260500.71,3
131.42,6.47,441014.44,3260521.55,3
124.41,6.29,440543.02,3260526.3,3
79.41,5.03,443560.31,3260515.39,3
31.31,3.16,443887.38,3260517.47,3
252.42,8.96,440122.6,3260530.11,3
39.58,3.55,442255.03,3260533.39,3
160.49,7.15,443528.85,3260524.68,3
57.51,4.28,441642.7,3260536.38,3
88.33,5.3,443518.39,3260538.38,3
339.67,10.4,439562.76,3260559.16,3
444.34,11.89,440537.16,3260549.21,3
102.59,5.71,440748.38,3260555.93,3
68.04,4.65,442208.21,3260553.29,3
52.33,4.08,440086.96,3260569.28,3
343.71,10.46,442817.27,3260556,3
132.08,6.48,440528.04,3260575.12,3
62.6,4.46,443556.27,3260564.18,3
50.24,4,440724.81,3260579.99,3
81.13,5.08,440686.53,3260581.59,3
286.08,9.54,440505.29,3260574.2,3
776.36,15.72,440561.98,3260567.81,3
82.37,5.12,442174.94,3260578.74,3
146.33,6.82,439610.84,3260591.13,3
87.6,5.28,440691.81,3260593.5,3
87.4,5.27,440517.89,3260604.63,3
67.52,4.64,443470.89,3260593.99,3
318.84,10.07,440534.31,3260601.44,3
99.88,5.64,440575.35,3260609.26,3
88.32,5.3,442145.76,3260605.69,3
98.39,5.6,438812.99,3260628.39,3
115.38,6.06,440548.96,3260620.17,3
159.2,7.12,443988.68,3260608.92,3
112.39,5.98,440237.89,3260644.19,3
72.5,4.8,443921.94,3260632.45,3
1089.14,18.62,442238.62,3260628.53,3
99.52,5.63,442273.22,3260664.56,3
510.72,12.75,443957.94,3260651.39,3
46.59,3.85,438452.85,3260694.59,3
298.54,9.75,442067.96,3260669.3,3
1062.72,18.39,442885.85,3260666.81,3
74.66,4.87,442273.02,3260684.84,3
64.45,4.53,438460.68,3260706.6,3
134.36,6.54,443929.63,3260676.86,3
115.28,6.06,442282.07,3260683.33,3
80.92,5.08,442295.47,3260689.17,3
791.16,15.87,442840.05,3260670.3,3
44.75,3.77,438470.69,3260713.07,3
103.75,5.75,443596.65,3260685.58,3
24.49,2.79,442304.26,3260697.48,3
78.29,4.99,443913.28,3260688.72,3
85.8,5.23,440360.38,3260709.98,3
279.1,9.43,439889.89,3260709.22,3
64.57,4.53,438474.05,3260725.04,3
88.89,5.32,443887.02,3260694.5,3
89.43,5.34,442285.2,3260703.64,3
244.96,8.83,439868.99,3260711.61,3
84.79,5.2,440327.55,3260720.49,3
57.49,4.28,443784.14,3260701.05,3
140.81,6.69,442322.69,3260707.59,3
247.15,8.87,438489.98,3260732.61,3
197.09,7.92,442300.5,3260714.88,3
42.13,3.66,443886.88,3260714.44,3
158.55,7.1,439875.18,3260735.59,3
570.17,13.47,439114.4,3260733.52,3
129.55,6.42,443656.18,3260730.29,3
39.48,3.54,442367.61,3260744.39,3
134.11,6.53,442395.75,3260743.73,3
45.21,3.79,442184.41,3260750.5,3
835.36,16.31,439014.33,3260757.06,3
83.39,5.15,442189.42,3260761.97,3
142.96,6.75,442364.78,3260759.63,3
109.4,5.9,442346.2,3260762.46,3
887.03,16.8,438798.6,3260785.34,3
121.73,6.22,442340.84,3260780.68,3
57.12,4.26,442439.79,3260784.77,3
189.12,7.76,442355.55,3260782.17,3
86.74,5.25,442330.31,3260790.66,3
293.7,9.67,439280.48,3260799.5,3
78.52,5,438363.35,3260814.75,3
98.13,5.59,442342.07,3260797.88,3
94.42,5.48,442329.67,3260804.25,3
165.07,7.25,443745.71,3260797.27,3
57.7,4.29,438376.01,3260832.49,3
208.8,8.15,442507.78,3260815.08,3
53.86,4.14,438373.95,3260843.34,3
44.05,3.74,443646.83,3260833.93,3
71.06,4.76,442439.78,3260848.44,3
62.31,4.45,442460.66,3260849.03,3
39.19,3.53,443787.84,3260861.38,3
364.18,10.77,442746.2,3260908.13,3
265.83,9.2,443526.48,3260906.5,3
56.38,4.24,443608.38,3260942.14,3
154.38,7.01,439436.23,3260994.23,3
555.2,13.29,443151.41,3260987.61,3
700.75,14.94,443570.65,3260987.5,3
61.55,4.43,443864.67,3261005.14,3
256.55,9.04,443590.13,3261016.05,3
217.34,8.32,443425.89,3261039.74,3
574.05,13.52,439677.8,3261057.23,3
440.75,11.84,438827.77,3261063.73,3
557.17,13.32,443617.43,3261052.44,3
36.18,3.39,442609.77,3261082.38,3
22.64,2.68,443736.79,3261099.83,3
69.01,4.69,439257.09,3261124.88,3
208.33,8.14,442886.76,3261115.76,3
162.03,7.18,443827.54,3261110.41,3
283,9.49,443555.32,3261149.57,3
31.14,3.15,443762.02,3261156.65,3
720.31,15.14,438603.99,3261190.62,3
389.74,11.14,443075.11,3261186.16,3
186.47,7.7,438776.2,3261219.61,3
334.03,10.31,438687.63,3261243.47,3
359.94,10.7,438737.28,3261250.19,3
29.35,3.06,438772.05,3261257.03,3
86.05,5.23,443681.79,3261239.08,3
872.25,16.66,438840.38,3261264.36,3
255.29,9.01,438896.04,3261269.15,3
188.96,7.76,439121.96,3261274.87,3
1122.54,18.9,438861.3,3261281.83,3
106.45,5.82,443309.9,3261267.83,3
366.6,10.8,443093.64,3261308.16,3
300.94,9.79,443114.25,3261381.27,3
74.23,4.86,441725.79,3261449.72,3
1433.5,21.36,443891.87,3261433.84,3
99.85,5.64,441226.75,3261463.51,3
647.31,14.35,443767.56,3261454.99,3
206.85,8.11,443219.63,3261459.72,3
330.79,10.26,441271.27,3261480.84,3
467.16,12.19,442982.47,3261474.21,3
150.66,6.93,442963.2,3261491.46,3
360.94,10.72,441391.92,3261506.18,3
161.62,7.17,441797.03,3261510.4,3
46.55,3.85,441095.59,3261538.38,3
130.36,6.44,441398.97,3261541.87,3
65.76,4.58,441870.6,3261541.03,3
48.01,3.91,441755.38,3261546.59,3
458.13,12.08,442986.57,3261526.94,3
205.59,8.09,441404.67,3261555.84,3
182.01,7.61,441892.8,3261556.81,3
260.6,9.11,441857.97,3261555.45,3
68.42,4.67,441170.2,3261571.12,3
37.31,3.45,441239.97,3261573.71,3
93.33,5.45,440878.29,3261574.89,3
209.58,8.17,441890.08,3261567.98,3
293.59,9.67,440947.45,3261573.28,3
317.52,10.05,440914.05,3261580.55,3
159.79,7.13,442136.91,3261578.02,3
223.73,8.44,441104.09,3261585.23,3
19.6,2.5,441444.09,3261597.82,3
102.07,5.7,440779.13,3261607.21,3
35.5,3.36,441407.25,3261609.38,3
311.27,9.95,441089.43,3261605.56,3
37.11,3.44,443011.22,3261617.94,3
612.28,13.96,443892.17,3261604.18,3
265.6,9.19,443068.63,3261616.72,3
37.36,3.45,443869.04,3261619.51,3
14.53,2.15,443992.34,3261620.7,3
2058.11,25.6,441041.78,3261626.24,3
31.95,3.19,441153.65,3261641.83,3
63.07,4.48,441262.2,3261644.29,3
71.35,4.77,441148.86,3261654.39,3
206.5,8.11,443015.21,3261637.35,3
68,4.65,441130.19,3261660.09,3
156.15,7.05,441199.57,3261665.8,3
356.7,10.66,441281.47,3261664.46,3
160.19,7.14,442056.62,3261672.72,3
66.36,4.6,443475.27,3261676.95,3
46.05,3.83,443402.68,3261683.84,3
376.1,10.94,441332.34,3261689.15,3
220.82,8.38,443038.88,3261697.2,3
328.77,10.23,443420.77,3261692.93,3
481.63,12.38,442138.7,3261677.02,3
367.33,10.81,441032.01,3261705.64,3
69.79,4.71,443346.81,3261706.05,3
282.34,9.48,443140.68,3261704.22,3
248.88,8.9,443193.88,3261704.64,3
645.14,14.33,440443.7,3261717.19,3
264.06,9.17,443841.21,3261707.34,3
86.55,5.25,442159.11,3261724.13,3
43,3.7,443377.1,3261727.71,3
149.83,6.91,441297.75,3261730.17,3
82.75,5.13,443448.03,3261725.83,3
65.81,4.58,443464.49,3261730.73,3
118.67,6.15,443849.18,3261730.24,3
334.41,10.32,441364.61,3261736.73,3
76.76,4.94,441210.46,3261745.66,3
26.43,2.9,443221.67,3261740.07,3
62.83,4.47,440619.6,3261752.48,3
304.64,9.85,441711.18,3261743.86,3
51.12,4.03,443226.04,3261747.76,3
616.51,14.01,441728.32,3261750.2,3
102.27,5.71,441323.74,3261765.7,3
52.03,4.07,441919,3261765.8,3
118.32,6.14,442140.94,3261763.53,3
34.95,3.34,440614.22,3261789.44,3
49.63,3.97,443436.79,3261783.38,3
44.41,3.76,441040.03,3261796.04,3
275.63,9.37,441062.24,3261796.37,3
108.89,5.89,441027.75,3261801.05,3
214.63,8.27,443202.67,3261790.4,3
228.34,8.53,441169.45,3261800.84,3
287.38,9.56,441090.89,3261802.58,3
755.12,15.5,440744.67,3261796.82,3
51.15,4.04,441033.1,3261810.28,3
82.37,5.12,441921.25,3261801.09,3
315.59,10.02,440530.29,3261803.92,3
167.6,7.3,441080.05,3261814.1,3
33.42,3.26,441060.8,3261818.9,3
49.2,3.96,441069.07,3261818.41,3
248.47,8.89,441050.22,3261814.09,3
204.08,8.06,443712.04,3261814.5,3
52.61,4.09,443663.79,3261824.21,3
32.88,3.24,440633.66,3261843.09,3
161.67,7.17,440616.5,3261848.77,3
22.93,2.7,443696.75,3261835.93,3
64.96,4.55,441309.43,3261845.49,3
41.13,3.62,443661.61,3261834.23,3
94.91,5.5,443151.45,3261841.2,3
79.32,5.02,443117.45,3261838.51,3
60.82,4.4,441186.03,3261853.41,3
19.79,2.51,443690.11,3261844.13,3
40.34,3.58,443684.75,3261846.67,3
125.96,6.33,440528.8,3261861.99,3
239.4,8.73,440515.55,3261862.75,3
148.53,6.88,443157.54,3261852.45,3
105.43,5.79,440621.59,3261871.56,3
156.61,7.06,441366.83,3261863.46,3
132.86,6.5,441065.3,3261866.44,3
99.59,5.63,441304.68,3261865.8,3
29.56,3.07,441380.65,3261870.37,3
113.92,6.02,443153.32,3261863.43,3
38.04,3.48,443674.83,3261863.15,3
110.48,5.93,443702.05,3261865.5,3
53.03,4.11,441208.74,3261881.09,3
224.22,8.45,441082.72,3261874.62,3
49.62,3.97,443718.24,3261869.73,3
75.13,4.89,441144.48,3261885.88,3
27.36,2.95,443709.37,3261874.15,3
94.17,5.47,440620.36,3261883.84,3
456.25,12.05,443665.34,3261859.99,3
22.06,2.65,443248.63,3261881.59,3
93.65,5.46,443221.53,3261877.38,3
404.02,11.34,440520.12,3261883.92,3
1082.37,18.56,440566.29,3261879.09,3
28.16,2.99,443676.84,3261882.39,3
32.72,3.23,443671.51,3261883.99,3
448.97,11.95,441223.25,3261891.77,3
73.73,4.84,441261.53,3261900.37,3
109.04,5.89,440118.14,3261908.25,3
60.41,4.39,440287.55,3261910.22,3
618.39,14.03,441174.82,3261908.4,3
113.65,6.01,441538.7,3261906.22,3
272.82,9.32,440991.03,3261911.26,3
173.42,7.43,443142.45,3261892.16,3
26.42,2.9,441024.09,3261916.7,3
38.82,3.52,443588.96,3261908.14,3
10.82,1.86,440320.81,3261926.31,3
81.14,5.08,441634.81,3261919.12,3
66.59,4.6,443161.51,3261912.28,3
39.5,3.55,443575.54,3261913.34,3
77.21,4.96,443482.78,3261914.78,3
34.66,3.32,443145.27,3261914.57,3
21.51,2.62,441605.11,3261925.09,3
6397.72,45.13,440400.95,3261903.35,3
50.39,4,441808.84,3261925.7,3
371.62,10.88,443196.57,3261916.66,3
866.31,16.61,440086.73,3261925.39,3
50.69,4.02,441626.89,3261932.78,3
54.17,4.15,442984.06,3261928.69,3
71.8,4.78,441107.74,3261944.29,3
70.23,4.73,443151.27,3261936.93,3
169.76,7.35,440043.13,3261947.43,3
84.48,5.19,441060.68,3261947.68,3
25.39,2.84,440256.72,3261958.58,3
753.29,15.48,440292.81,3261943.06,3
108.08,5.87,441439.32,3261948.37,3
87.99,5.29,443609.2,3261939.47,3
185.89,7.69,443673.99,3261939.69,3
67.82,4.65,441068.89,3261957.13,3
82.8,5.13,441120.08,3261956.68,3
61.46,4.42,441059.45,3261959.35,3
248.72,8.9,439806.85,3261965.81,3
66.12,4.59,442158.26,3261960.75,3
73.44,4.83,441057.29,3261970.84,3
253.56,8.98,441390.02,3261965.28,3
44.81,3.78,439581.91,3261983.5,3
929.89,17.2,441201.74,3261958.25,3
25.98,2.88,439561.35,3261987.66,3
218.45,8.34,441136.13,3261971.39,3
51.81,4.06,443167.11,3261969.95,3
