id,名称,地址,电话,经度_GCJ02,纬度_GCJ02,经度_WGS84,纬度_WGS84,Center_X,Center_Y,类型代码,类型名称,省份,城市,区域,营业时间,评分,人口密度
B0IAZSSL5B,广厦城一期2号院,龙江路与余堡路交叉口东北240米,[],106.531484,29.493135,,,441011.7484832777,3262776.985833007,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],97.34404
B00178TXYG,九龙花园,九龙村26号,[],106.526522,29.491612,,,440529.8580029565,3262610.7584785167,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],96.06643
B0IAZSRD6S,广厦城一期3号院,邮电路与龙广路交叉口东北280米,[],106.533603,29.492869,,,441217.00411541696,3262746.440049087,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],86.12976
B0FFHD3DZC,观江美郡,高进路与余堡路交叉口东北80米,[],106.528443,29.492722,,,440716.72292145545,3262732.769551491,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],93.154755
B0FFGNPFY7,九龙花园二小区,九龙村26号,[],106.52645,29.491544,,,440522.8387171775,3262603.260677484,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],96.06643
B0FFH2A1UP,九龙坡区黄桷坪街道唐家湾社区,惠广路与新建路交叉口西340米,[],106.535993,29.491869,,,441448.1086851322,3262634.4323935327,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,4.5,127.3036
B00178TWN2,如意物业A区,龙广路与黄桷坪正街交叉口西北340米,[],106.537501,29.485384,,,441590.5715187768,3261915.1190388496,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],75.7
B001786TIS,曦圆·云岭,铁路新村50号(铁路医院对面前行300米),[],106.536384,29.492479,,,441486.3620328194,3262701.825434639,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],124.90389
B0FFHCA298,广厦城,龙江路九龙小学东,[],106.532263,29.494423,,,441088.007628569,3262919.3052930324,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],71.824234
B00178TWN4,九龙花园一小区,九龙花园,[],106.526735,29.492913,,,440551.2655347335,3262754.8042095746,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],91.995186
B0JAGUGR8A,广厦城一期4号院,邮电路与龙广路交叉口北380米,[],106.53279,29.494178,,,441138.95105670113,3262891.8919119835,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],74.927185
B001786L50,保利心语花园,龙江路8号,[],106.528168,29.494487,,,440691.0933897615,3262928.4767823284,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],95.53049
B0FFF7XSXZ,电力三村,黄桷坪电力家属区,[],106.53826,29.484484,,,441663.6366427853,3261815.01603524,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],37.101048
B0017875LU,广厦城洛卡庄园,广厦城7号,[],106.532445,29.495316,,,441106.1665274839,3263018.1601308645,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],66.03965
B0FFHRCZZI,蟠龙·龙蟠凤逸,九龙镇龙江支路66号,[],106.525285,29.493315,,,440410.9419775915,3262800.088583543,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],78.42813
B0FFG15M6R,广厦城蜜宫,杨家坪滩子口广厦城8号,[],106.535763,29.494515,,,441427.3352433397,3262927.73236026,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],129.85715
B0H0VC3GN4,龙湖美林美院,黄桷坪街道黄桷坪正街重庆铁路小学斜对面,15730789107,106.53947,29.491322,,,441784.8494293256,3262572.0789765217,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],120.47052
B0H6PSOP1L,玖悦兰庭,杨九路(黄桷坪地铁站4号口步行310米),[],106.537758,29.493328,,,441620.0409171069,3262795.2069319,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],119.83976
B0KU4UTCMJ,铁路新村,惠广路与新建路交叉口西100米,[],106.538471,29.492446,,,441688.6515766763,3262697.121409547,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],92.97621
B0G26ZLNOZ,俊东花园,惠广路与新建路交叉口西60米,[],106.538813,29.492234,,,441721.6828394357,3262673.4599094284,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],92.97621
B0HDT7KKG3,华润·半山悦景,龙江路与龙江支路交叉路口东南侧,[],106.525857,29.495568,,,440467.7073113417,3263049.434831304,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],56.43461
B0JKGZ2NFM,华润·半山悦景(南区),九凤支路与龙江支路交叉口南200米,[],106.525251,29.495093,,,440408.6868841642,3262997.1136136944,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],56.50441
B001786TIP,禾风雅筑,新市场官家林199号,[],106.538298,29.494204,,,441672.88857494737,3262891.9993970543,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],125.568436
B0LD1K8WM0,保利韬园,龙江路与龙江支路交叉口东南380米,[],106.528869,29.495886,,,440759.8593678136,3263083.132985015,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],87.949844
B0017822ZY,黄桷花园,黄桷坪街道黄桷坪正街搬运西村3号,[],106.541217,29.491009,,,441954.0225807935,3262536.52511489,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],91.98259
B0JKGZ318H,华润·半山悦景(北区),龙江支路与九凤支路交叉口东180米,[],106.526697,29.496363,,,440549.5966657745,3263137.093721548,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],104.25707
B001786WAZ,广厦城江畔语林,广厦城5号,023-86100990,106.529953,29.497276,,,440865.7435954528,3263236.597676028,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],57.399746
B0FFFWC97R,官家林,杨九路与新建路交叉口西北380米,[],106.536369,29.496208,,,441487.051278509,3263115.016690167,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],121.14368
B0FFGG6I14,铁路二村,龙吟支路与新建路交叉口东100米,[],106.53995,29.49364,,,441832.7042504107,3262828.67974389,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],102.49891
B001786TZM,港韵新苑,滩子口77-78号,[],106.524584,29.495772,,,440344.42909264506,3263072.690584951,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],129.1282
B001702900,星河名居,滩子口97号(滩子口地铁站2A口步行420米),[],106.527736,29.497189,,,440650.7925099327,3263228.086569635,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],90.08799
B001786U8F,渝铁·九龙苑,铁路二村,[],106.540222,29.49402,,,441859.28794146463,3262870.648869949,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],102.49891
B0FFG7OVMP,广厦城森林峰,九龙镇滩子口,023-68650772,106.532154,29.497682,,,441079.3279917287,3263280.467105763,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],62.81129
B0FFG6SWH5,志龙·观江岭,官家林11号,[],106.534871,29.497505,,,441342.5916646725,3263259.4822313488,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],110.262375
B0HDUHJJ18,海纳九龙,龙江支路51号,[],106.523511,29.495396,,,440240.1977218191,3263031.579237761,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],94.73282
B001786U8A,茗都华苑,滩子口55号,[],106.52824,29.497372,,,440699.7533737559,3263248.106547337,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],76.20988
B0017933BA,天祥苑,滩子口龙江支路,023-68506174,106.526242,29.497707,,,440506.2772796528,3263286.245467564,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],64.90596
B0017946NW,黄正街社区,黄桷坪正街230附2号附近,[],106.543806,29.488414,,,442203.52419246815,3262247.7037006663,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],467.0754
B00179264H,双铁金大楼,新市场叉路口14号,[],106.541716,29.493288,,,442003.6932470391,3262788.795751661,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],106.08841
B001786TIX,龙隐花苑,铁路四村12号,[],106.543658,29.49069,,,442190.4690670442,3262499.9640657925,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],618.4558
B00178VN46,黄桷印象,黄桷枰正街232号,[],106.543994,29.487722,,,442221.3565103725,3262170.934935037,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],481.29883
B0G0P9IVAU,小美院(四川美术学院家属区),黄椎坪街道黄桶坪正街185号附近,[],106.543808,29.486954,,,442202.8894284064,3262085.9308657194,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],492.7466
B00178X6D0,庆翔·正雅阁,滩子口龙江支路42号,[],106.52189,29.495638,,,440083.2088415563,3263059.227133966,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],89.51737
B00178TWYE,万顺楼,滩子口71号,[],106.52669,29.498511,,,440550.1726479112,3263375.102085096,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],67.78136
B0KR67Z6C2,铁路六村,龙吟路东50米(四川美术学院地铁站4号口步行410米),[],106.543844,29.486081,,,442205.88392622967,3261989.182310045,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],586.9088
B0L3HLC2EU,铁路一村,直港大道与龙吟路交叉口东南340米,[],106.533866,29.498845,,,441245.9477900611,3263408.4651866574,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],81.171196
B0FFGKBH7B,广厦城江界,九龙大道1号(滩子口地铁站4号口步行230米),[],106.531365,29.499646,,,441003.9865713432,3263498.483881496,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],78.284645
B001785J7W,天河名港,滩子口49-70号,[],106.52656,29.499087,,,440537.9080068386,3263438.991041176,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],53.46935
B00178TY9L,田野小区,滩子口101号,[],106.524887,29.498539,,,440375.4210009848,3263379.1271534096,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],62.393314
B0FFH2LK4D,龙江支路小区,龙江支路与高进路辅路交叉口西北160米,[],106.521813,29.495965,,,440075.9373691689,3263095.499365305,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],87.06502
B0I30SK9A0,三角道社区,铁路五村19号,[],106.54567,29.487448,,,442383.6761156293,3262139.744201851,130106|120302,政府机构及社会团体;政府机关;乡镇以下级政府及事业单位|商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],325.53622
B0FFFEBHPX,新市场社区,黄桷坪铁路三村(四川美术学院地铁站4号口步行470米),[],106.545207,29.491636,,,442341.1634209787,3262604.014969881,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],326.47583
B0FFGYQ8BT,和信公寓,杨家坪正街与龙江路交叉口西120米,[],106.524041,29.498861,,,440293.6055847528,3263415.239553621,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],71.62461
B001786WK0,晋愉·九龙湾,铁路一村28号1,[],106.529585,29.501358,,,440832.4452083361,3263689.0824918067,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],124.87201
B0JKB7NVZ8,金辉云缦长滩,九凤大道与天兴路交叉口东南140米,[],106.524127,29.500019,,,440302.6208806157,3263543.505339009,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],83.50796
B0FFGG6MP6,新华春天,西子路202号,[],106.519851,29.498256,,,439887.105259036,3263350.361126145,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],63.82581
B0FFHH5IG2,太极集团滩子口家属楼,龙吟路晋愉九龙湾西侧,[],106.528411,29.501395,,,440718.6720367861,3263693.779828512,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],125.47975
B0L1MKFVQ9,新华春天B区,九凤大道与九凤支路交叉口西北120米,[],106.521213,29.498917,,,440019.5162916932,3263422.899054937,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],82.136246
B0LDH5LOHD,新华春天-东区,九凤大道与九凤支路交叉口西北140米,[],106.520614,29.4986,,,439961.2673602302,3263388.0834248783,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],64.08971
B001786L6L,福星·颐美华庭,天兴路49号(滩子口地铁站2A口步行420米),[],106.523639,29.501293,,,440256.06669487455,3263684.9189260243,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],83.0804
B0FFF39F3Z,天宝新苑,杨家坪天兴路41号,[],106.525464,29.502047,,,440433.4037336969,3263767.5286536766,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],77.35846
B0LDU6ACKO,新华春天-西区,西子路与高进路交叉口西北160米,[],106.518623,29.497881,,,439767.8507246116,3263309.44503425,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],82.090126
B00178XDNT,新华苑B区,直港大道天兴路39号,[],106.524982,29.502313,,,440386.8400336862,3263797.2491522017,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],76.506386
B0L69SN60M,新华苑,九凤大道与天兴路交叉口东北260米,[],106.524986,29.502306,,,440387.2236461983,3263796.4714810764,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],76.506386
B00178XE7G,和坤和家园,天兴路51号,[],106.523486,29.502543,,,440241.9704974203,3263823.501355891,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],86.99604
B0FFH5QZQJ,融汇江山E区,融汇五园海支路,[],106.518776,29.475332,,,439769.3463874727,3260810.8716859706,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],35.6715
B00178XA3G,融汇江山,巴滨路融汇半岛段,[],106.519933,29.474447,,,439880.9998860656,3260712.213378136,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],52.611115
B0FFGG557C,融汇江山D区,[],[],106.520873,29.473616,,,439971.647782689,3260619.651410926,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],52.9237
B00170AFBV,铁马公寓,西子路51号,[],106.517996,29.499937,,,439708.2919273485,3263537.5809258837,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],74.71756
B00170I3JP,上江城,天兴路2号,[],106.529096,29.504753,,,440787.0222790235,3264065.507599764,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],155.30853
B00170A3UR,佳锦园,天兴路6号,[],106.527186,29.504636,,,440601.8256322405,3264053.5173577843,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],133.4428
B0017822XE,皓林新华苑,新华六村33幢,[],106.519422,29.502015,,,439847.74299811374,3263767.0916804173,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],72.12277
B0FFKBCHJJ,融汇半岛天澜,融汇大道与汇滨一路交叉口北300米,023-68855575,106.514626,29.476729,,,439367.8188498928,3260967.817030821,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],36.35955
B0K6XH08LS,D10·天际玲珑台,杨家坪正街51号,15123088501,106.518429,29.501748,,,439751.3349017272,3263738.021071019,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],55.330635
B0FFG0ICLT,融汇半岛五园湾A区,融汇大道5号,[],106.517552,29.473925,,,439649.8413553256,3260655.606071277,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],28.944702
B0FFK4J7VL,融汇半岛C公馆,巴滨路融汇半岛段(融汇半岛旁),[],106.520964,29.471797,,,439979.3992710133,3260418.054521893,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],29.816011
B00178VPRC,金江明珠,直港大道48号,[],106.529837,29.505954,,,440859.54232146207,3264198.205143342,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],143.08708
B001786TWV,融汇半岛五园湾,李家沱融汇大道5号(长江大桥南桥头),023-62595598,106.518445,29.47314,,,439735.9581362201,3260568.163476899,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],38.569263
B0017875AK,锦绣江南,工矿路28号,[],106.534173,29.469246,,,441258.6367488713,3260128.661885632,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],58.42443
B0FFJO63VD,融汇半岛五园湾B区,融汇大道5号,[],106.519185,29.47243,,,439807.2861738741,3260489.1108478354,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],35.06237
B0FFJ1F5O8,融汇半岛水晶公馆,融汇大道492-494正北方向170米,[],106.515898,29.474817,,,439490.00704142015,3260755.3004767555,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],21.888098
B00178VSRD,江趣阁,天兴路1号上江城,[],106.529328,29.505904,,,440810.1785741681,3264192.9238727554,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],154.23181
B00170AEUU,天合家园,天宝路126-130号,023-68122183,106.526601,29.505817,,,440545.8139624744,3264184.674663056,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],149.5574
B00170A3W9,佳庆园,天宝路132-138号,[],106.525504,29.505682,,,440439.4083883292,3264170.277414439,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],121.68089
B0H1PHQACD,新希望·D10天际,杨家坪正街,[],106.517294,29.502353,,,439641.6795241957,3263805.64528634,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,4.7,86.99532
B0FFGKB5KF,桥南村,马王坪正街与红光大道交叉口东200米,[],106.529913,29.468293,,,440845.0356440283,3260025.2234227043,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],55.03018
B0KKOSZPAR,新希望D10天际星湖岛,杨家坪正街51号,023-68855575,106.516354,29.502241,,,439550.50046015065,3263793.723384352,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],77.700356
B0IUCUZOJ1,新天泽·江上云境(建设中),杨九路,[],106.533191,29.497991,,,441180.0255855028,3263314.1805355893,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],68.45519
B001702AD3,佳宝园,天宝路127号,[],106.525619,29.506475,,,440451.01883819466,3264258.0854191016,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],119.60893
B0017933QJ,天宝路小区,天宝路96号,[],106.523641,29.505913,,,440258.9727543504,3264196.82825785,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],55.712437
B0G1TSVQ2Q,一曲晴江,巴滨路,[],106.53187,29.467745,,,441034.4703319344,3259963.511256447,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],39.968376
B0017822XD,重啤花园,西郊三村5号,[],106.513946,29.500784,,,439316.2282391285,3263633.5367537127,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],62.831375
B00178230Q,映江花园,李家沱马王坪正街,023-62868103,106.536874,29.46822,,,441519.9358135269,3260013.619291813,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],67.98965
B00178TTX3,星河世家,直港大道28号,[],106.526608,29.507307,,,440547.3630192928,3264349.767741369,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],137.72525
B0LKRC65S4,富怡阁,天长路与直港大道交叉口西120米,[],106.529,29.507,,,440779.0251369389,3264314.531006512,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],143.26804
B0FFF2SB7R,斌鑫·新华苑2期,天宝路12号,[],106.521934,29.506151,,,440093.6622631416,3264224.077277577,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],57.154552
B0L39ZSBE2,马王坪正街二社区,工矿路与工裕路交叉口东北80米,[],106.535098,29.468527,,,441347.91056318086,3260048.5287392414,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],64.5209
B0HUJAZJLV,江湾印月,工矿路19号,[],106.534805,29.467463,,,441318.8885692049,3259930.782580064,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],46.544697
B00179AXF4,晨曦花园,马王坪正街与红光大道交叉口东200米,[],106.529617,29.467512,,,440815.8817824063,3259938.837089958,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],37.84934
B00178232M,晨曦花园西区,桥南村11幢附11号楼李家沱马王坪正街,[],106.529224,29.467701,,,440777.8858241335,3259959.97852994,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],37.84934
B0LKRN5N2U,富盛阁,天长路与天宝路交叉口东北20米,[],106.527475,29.506925,,,440631.1727371328,3264306.9981324608,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],163.90715
B0FFG0BHQH,珠江花园南区,杨家坪直港大道,[],106.528026,29.50761,,,440684.9770546148,3264382.6171782045,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],159.1207
B00178758E,天鹅堡,杨家坪直港大道中段26号,[],106.525144,29.507414,,,440405.5297898452,3264362.372830364,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],65.47097
B00170A0NU,广厦经典,西郊路28号(动物园地铁站2号口步行300米),[],106.511122,29.499016,,,439041.43969466456,3263439.1130059804,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],109.97111
B00170316A,西郊三村杨渡小区,杨渡支路与西郊路交叉口东南280米,[],106.510493,29.497569,,,438979.60234988434,3263279.1105378573,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],86.77182
B00178TWOI,晨曦花园东区,桥南村(李家沱大桥地铁站出入口步行410米),[],106.530053,29.46731,,,440858.0396800317,3259916.2335125394,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],37.84934
B00178VPD2,融汇半岛爱窝,融汇大道26号,[],106.514691,29.47244,,,439371.5686188425,3260492.550285951,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],19.983997
B0FFJGNA2Z,珠江花园,直港大道199号,[],106.528221,29.508648,,,440704.4819836701,3264497.531410666,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],159.1207
B0JBY5Q30D,融汇半岛江上公馆B区,融汇大道与汇滨一路交叉口西140米,[],106.512182,29.474719,,,439129.6656548431,3260746.378669456,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],20.675545
B0017822XF,斌鑫·新华苑,天宝路12号,[],106.521311,29.506774,,,440033.6454078726,3264293.4286581646,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],70.97024
B0FFHKES3E,天鹅花园,直港大道22号,[],106.524102,29.507651,,,440304.6747170425,3264389.1674779397,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],43.396725
B0FFH2WXTH,公安大楼,天宝路88号,[],106.522652,29.506624,,,440163.5322467653,3264276.117627796,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],57.154552
B0H2N5FS7C,江湾印月·熙月,李家沱街道工矿路19号,[],106.534495,29.466982,,,441288.55348395766,3259877.6428635386,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],46.19132
B001786THS,东方雅园,[],[],106.528144,29.466979,,,440672.7475405539,3259880.5288196285,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],24.68586
B0KG9U4RLI,卓越龙珠居,九龙街道上游四社,[],106.508326,29.491909,,,438766.1444650093,3262653.103216326,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],39.737762
B0FFHJCV1U,珠江花园北区,直港大道199号,023-68121452,106.527623,29.508377,,,440646.3644607511,3264467.808752975,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],159.1207
B00178TWYB,西城镜园,杨家坪西郊三村1号8幢(动物园地铁站1号口步行440米),[],106.512945,29.502166,,,439220.026887962,3263787.1892861906,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,4.2,94.0134
B00178TWMZ,庆丰花园,李家沱马王坪正街22号,18696507715,106.536431,29.466846,,,441476.19330078096,3259861.5993545945,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,巴南区,,[],55.47036
B00178752K,祥和·如意居,杨渡村138(动物园地铁站2号口步行480米),[],106.508866,29.496689,,,438821.3637008255,3263182.45810086,120302,商务住宅;住宅区;住宅小区,重庆市,重庆市,九龙坡区,,[],55.113205
