geometry,Area_m2,Radius_m,Center_X,Center_Y,Area_mu,Entity,Layer,LyrFrzn,LyrOn,Color,Linetype,Elevation,LineWt,RefName,DocUpdate
"POLYGON Z ((441914.61650000035 3257000.977199999 3, 441910.6498999988 3256988.8570000003 3, 441902.47490000085 3256991.7591 3, 441906.34279999917 3257003.6591999987 3, 441914.61650000035 3257000.977199999 3))",109.71,5.91,441908.54,3256996.31,0.16,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((439751.00349999906 3257017.763299999 3, 439752.87349999987 3257002.9938999983 3, 439744.4666999994 3257001.7194999997 3, 439743.24710000074 3257010.6052000006 3, 439733.27709999966 3257009.2504 3, 439732.4325999991 3257015.3594 3, 439751.00349999906 3257017.763299999 3))",190.27,7.78,439744.48,3257010.83,0.29,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((440347.95150000125 3257018.9848000007 3, 440344.1802999998 3257008.4305000002 3, 440338.7209000007 3257010.4291000003 3, 440342.4908999993 3257020.762000001 3, 440347.95150000125 3257018.9848000007 3))",64.14,4.52,440343.34,3257014.64,0.1,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441908.5308999986 3257011.4882 3, 441902.28290000104 3256992.315999999 3, 441892.3532999996 3256995.3582000006 3, 441898.89580000006 3257014.857399999 3, 441908.5308999986 3257011.4882 3))",209.65,8.17,441900.49,3257003.48,0.31,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((440723.4881999992 3257027.1972 3, 440720.7610999999 3257028.5841000006 3, 440721.75070000056 3257030.8893999998 3, 440728.5703999993 3257027.7545999996 3, 440723.1310999992 3257015.6844999986 3, 440719.039099999 3257017.543199999 3, 440723.4881999992 3257027.1972 3))",66.74,4.61,440723.68,3257023.38,0.1,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441911.26460000104 3257029.9422999998 3, 441912.8513000009 3257034.7903 3, 441920.0545999998 3257032.5691 3, 441918.36990000133 3257027.611700001 3, 441911.26460000104 3257029.9422999998 3))",38.8,3.51,441915.65,3257031.23,0.06,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441890.2461000007 3257037.9280000003 3, 441889.338800001 3257032.5151000014 3, 441881.1562999999 3257034.0894000004 3, 441882.3566999998 3257039.6082000006 3, 441890.2461000007 3257037.9280000003 3))",45.64,3.81,441885.75,3257036.02,0.07,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((440947.8092000007 3257041.7754 3, 440947.1114999994 3257039.2419999996 3, 440936.48230000015 3257042.0101 3, 440937.8808000001 3257047.630500001 3, 440944.41439999914 3257045.9442999987 3, 440943.5176999999 3257042.7503999984 3, 440947.8092000007 3257041.7754 3))",49.89,3.99,440941.52,3257043.33,0.07,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((440462.673200001 3257043.1382 3, 440456.10969999945 3257039.8435 3, 440450.0226999994 3257051.8253999995 3, 440456.5860000012 3257055.120100002 3, 440462.673200001 3257043.1382 3))",98.7,5.61,440456.35,3257047.48,0.15,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((438570.50569999893 3257068.499199999 3, 438567.8317000005 3257061.3312999997 3, 438564.1350000006 3257062.8155999994 3, 438565.6184999994 3257066.4531000005 3, 438562.31120000134 3257067.8217999986 3, 438563.49969999894 3257071.0199000007 3, 438570.50569999893 3257068.499199999 3))",42.03,3.66,438566.53,3257066.54,0.06,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((440626.42390000063 3257084.3047000007 3, 440640.1871999997 3257065.1816000016 3, 440635.28340000036 3257061.6300000018 3, 440632.27989999944 3257066.0138000003 3, 440628.7484000008 3257063.319299999 3, 440618.184500001 3257078.165200001 3, 440626.42390000063 3257084.3047000007 3))",219.74,8.36,440628.86,3257072.63,0.33,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((438703.75509999995 3257108.5831000013 3, 438688.4368000013 3257107.564799999 3, 438687.82050000096 3257119.0928 3, 438703.0399999998 3257119.8907999983 3, 438703.75509999995 3257108.5831000013 3))",174.94,7.46,438695.74,3257113.77,0.26,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441346.649 3257113.1735999985 3, 441341.2347999993 3257034.4090999993 3, 441325.13439999975 3257035.3868 3, 441324.8560999994 3257055.6635000007 3, 441331.4247999991 3257096.078099999 3, 441335.42449999927 3257095.667999999 3, 441336.59889999963 3257113.8118 3, 441346.649 3257113.1735999985 3))",1171.39,19.31,441336.03,3257070.58,1.76,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441017.98400000064 3257122.7423 3, 441017.37590000144 3257118.7669 3, 441011.2278000013 3257119.4471000014 3, 441011.8366000007 3257123.5333 3, 441017.98400000064 3257122.7423 3))",25.23,2.83,441014.59,3257121.12,0.04,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441900.0098999993 3257128.932299999 3, 441898.7478000001 3257112.2265000003 3, 441892.4118999995 3257112.662299999 3, 441893.771700001 3257129.366399999 3, 441900.0098999993 3257128.932299999 3))",105.6,5.8,441896.23,3257120.78,0.16,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441914.43570000026 3257127.9222 3, 441908.9623000005 3257125.5741000017 3, 441907.23179999995 3257130.032999999 3, 441912.7039000002 3257132.1596000013 3, 441914.43570000026 3257127.9222 3))",27.67,2.97,441910.82,3257128.91,0.04,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441924.1092999998 3257131.6427999986 3, 441923.73829999997 3257135.082599999 3, 441929.29670000076 3257135.214400001 3, 441929.47350000124 3257131.8884999985 3, 441924.1092999998 3257131.6427999986 3))",18.53,2.43,441926.64,3257133.47,0.03,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((442270.5500000019 3257130.4895998216 3, 442269.51900000044 3257129.157099999 3, 442249.14420000045 3257144.7214000006 3, 442253.9544000003 3257151.301600001 3, 442270.5500000019 3257138.6529495367 3, 442270.5500000019 3257130.4895998216 3))",193.99,7.86,442260.95,3257140.64,0.29,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((440745.60159999994 3257139.0546999993 3, 440735.3441000007 3257138.717100001 3, 440734.58079999924 3257159.337200002 3, 440744.83830000064 3257159.674699999 3, 440745.60159999994 3257139.0546999993 3))",211.77,8.21,440740.09,3257149.2,0.32,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((442128.2124000004 3257144.5565 3, 442120.15729999996 3257150.767300001 3, 442127.51879999967 3257160.185200001 3, 442135.5730999989 3257153.8641000004 3, 442128.2124000004 3257144.5565 3))",121.54,6.22,442127.86,3257152.35,0.18,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((439748.32010000094 3257164.5896000015 3, 439741.3655000007 3257161.0710000014 3, 439734.8945000011 3257173.8263 3, 439741.94659999944 3257177.343200001 3, 439748.32010000094 3257164.5896000015 3))",111.92,5.97,439741.62,3257169.22,0.17,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((440567.12509999983 3257169.9721000018 3, 440577.9851000005 3257173.0648000007 3, 440600.33580000035 3257152.540499999 3, 440605.22180000134 3257152.8798999996 3, 440610.2891000007 3257115.995599999 3, 440595.2352000004 3257113.9886000003 3, 440589.9413000011 3257145.3392000003 3, 440570.3866000002 3257159.3791999994 3, 440567.12509999983 3257169.9721000018 3))",994.89,17.8,440592.53,3257144.51,1.49,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((442268.82950000034 3257163.283399999 3, 442265.2858999997 3257156.685400001 3, 442260.42820000096 3257159.1886 3, 442263.97190000035 3257165.7863999987 3, 442268.82950000034 3257163.283399999 3))",40.92,3.61,442264.63,3257161.24,0.06,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((442171.42319999996 3257169.185 3, 442168.5797 3257166.0134999994 3, 442155.29329999967 3257177.7251999984 3, 442158.13620000036 3257180.7856 3, 442171.42319999996 3257169.185 3))",74.54,4.87,442163.38,3257173.41,0.11,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((440635.87513517134 3257180.868725859 3, 440624.5153999988 3257179.2784 3, 440624.2429999991 3257182.9396 3, 440634.7282999989 3257188.9208 3, 440646.3598999989 3257190.3361000014 3, 440647.1919910211 3257182.477097011 3, 440647.19449999917 3257182.4534000005 3, 440635.87513517134 3257180.868725859 3))",159.57,7.13,440636.64,3257184.64,0.24,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((442207.6319999991 3257179.4154000003 3, 442199.19220000104 3257168.5681999996 3, 442195.4087 3257171.6125000017 3, 442204.04339999997 3257182.456700002 3, 442207.6319999991 3257179.4154000003 3))",65.95,4.58,442201.54,3257175.49,0.1,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((442219.0499999989 3257182.5785000003 3, 442214.5376000012 3257177.103100001 3, 442206.8726999994 3257183.0814999994 3, 442211.1927 3257189.0024000006 3, 442219.0499999989 3257182.5785000003 3))",71.61,4.77,442212.91,3257182.98,0.11,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((442223.26750000083 3257187.6149999993 3, 442219.93169999856 3257183.4522999995 3, 442214.69349999935 3257187.734899999 3, 442217.93139999954 3257191.788000001 3, 442223.26750000083 3257187.6149999993 3))",35.62,3.37,442218.97,3257187.64,0.05,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441775.469600001 3257198.6962 3, 441775.15180000087 3257194.16 3, 441768.3274999988 3257194.7201 3, 441768.64520000014 3257199.2562999995 3, 441775.469600001 3257198.6962 3))",31.13,3.15,441771.9,3257196.71,0.05,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441940.8463999992 3257196.1744999997 3, 441939.13819999935 3257169.3952 3, 441889.0382 3257172.755399999 3, 441890.84539999947 3257199.7541999994 3, 441940.8463999992 3257196.1744999997 3))",1351.91,20.74,441914.93,3257184.52,2.03,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441775.7169000013 3257208.1076000007 3, 441775.3887000005 3257201.6884000003 3, 441767.7835000005 3257202.151100001 3, 441768.4042999987 3257208.5651999996 3, 441775.7169000013 3257208.1076000007 3))",48.08,3.91,441771.82,3257205.11,0.07,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441889.4504000008 3257211.9619 3, 441888.8799999991 3257197.0170000005 3, 441879.22890000005 3257197.507799999 3, 441879.99440000113 3257212.449400001 3, 441889.4504000008 3257211.9619 3))",143.09,6.75,441884.39,3257204.71,0.21,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441874.9303000001 3257213.6405 3, 441874.7130999998 3257209.6563 3, 441836.0073000003 3257211.2961999997 3, 441836.22570000135 3257215.5019000005 3, 441874.9303000001 3257213.6405 3))",158.88,7.11,441855.3,3257212.53,0.24,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441829.0263000011 3257218.6133 3, 441828.5189999993 3257215.0772 3, 441799.2833000012 3257219.115399999 3, 441799.69249999896 3257222.5424000015 3, 441829.0263000011 3257218.6133 3))",103.78,5.75,441814.21,3257218.83,0.16,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441795.31450000004 3257224.4998999992 3, 441792.8811000001 3257207.8147 3, 441784.01260000013 3257209.0735 3, 441786.3486999996 3257225.7602999997 3, 441795.31450000004 3257224.4998999992 3))",151.8,6.95,441789.64,3257216.8,0.23,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((440666.06340000103 3257237.4414000004 3, 440665.2933999999 3257222.170600001 3, 440659.14110000036 3257222.4116999996 3, 440659.91109999927 3257237.6823999984 3, 440666.06340000103 3257237.4414000004 3))",94.14,5.47,440662.6,3257229.93,0.14,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((442167.0667999992 3257245.014799999 3, 442162.4716999988 3257242.3116999995 3, 442160.44250000047 3257245.4426000006 3, 442165.0389000004 3257248.3671 3, 442167.0667999992 3257245.014799999 3))",20.61,2.56,442163.77,3257245.3,0.03,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441572.65799999936 3257251.5853999997 3, 441570.15899999917 3257240.8861000002 3, 441563.5334000009 3257242.5584000004 3, 441566.0319000006 3257253.146899999 3, 441572.65799999936 3257251.5853999997 3))",74.57,4.87,441568.1,3257247.04,0.11,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((442175.4652000009 3257248.217399999 3, 442169.2057000007 3257244.0979 3, 442166.01700000063 3257249.0176999997 3, 442172.3740999999 3257253.1356000006 3, 442175.4652000009 3257248.217399999 3))",43.96,3.74,442170.76,3257248.62,0.07,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441578.4660999997 3257260.784199999 3, 441576.7735000009 3257254.722599999 3, 441565.1792000012 3257257.704199999 3, 441566.77550000045 3257263.9890000005 3, 441578.4660999997 3257260.784199999 3))",76.96,4.95,441571.77,3257259.31,0.12,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441842.2639999995 3257284.190899999 3, 441841.1630999998 3257279.1136000003 3, 441833.7614000001 3257280.8991000005 3, 441835.05690000084 3257285.8622000003 3, 441842.2639999995 3257284.190899999 3))",38.74,3.51,441838.07,3257282.5,0.06,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441419.16299999884 3257287.2443 3, 441411.66949999967 3257273.6512999996 3, 441405.7353000004 3257277.088 3, 441413.32529999886 3257290.4573999993 3, 441419.16299999884 3257287.2443 3))",104.43,5.77,441412.46,3257282.08,0.16,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((440239.1424999992 3257297.9951000004 3, 440233.4507999994 3257293.462200002 3, 440226.273600001 3257302.4751999984 3, 440231.9646000006 3257306.897399999 3, 440239.1424999992 3257297.9951000004 3))",83.12,5.14,440232.71,3257300.2,0.12,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441882.03310000006 3257298.4863000005 3, 441879.5782000007 3257295.425000001 3, 441876.86169999954 3257297.906700001 3, 441878.7297000006 3257300.645300001 3, 441882.03310000006 3257298.4863000005 3))",13.74,2.09,441879.36,3257298.1,0.02,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((441008.6365999999 3257301.392500001 3, 441008.5909999998 3257293.3068 3, 441025.5827000007 3257293.5114999986 3, 441025.69550000125 3257278.8866999997 3, 441020.031399999 3257278.781500001 3, 441020.19229999994 3257272.6855999995 3, 440996.85329999897 3257272.5009999997 3, 440997.16900000046 3257259.201500001 3, 440972.5612000007 3257259.2661 3, 440972.73590000044 3257255.6069 3, 440949.7869999993 3257255.5278999982 3, 440947.9053000005 3257302.7573000006 3, 440965.12969999947 3257309.3795999996 3, 440987.57309999876 3257306.4789000005 3, 440993.8920999988 3257301.4745000014 3, 441008.6365999999 3257301.392500001 3))",3014.83,30.98,440980.36,3257282.81,4.52,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((440198.1292999998 3257317.6885 3, 440193.4243999996 3257314.9070000006 3, 440188.3910000002 3257322.9883999988 3, 440192.90179999976 3257325.9957 3, 440198.1292999998 3257317.6885 3))",52.61,4.09,440193.23,3257320.4,0.08,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((439635.4570000004 3257307.3592000017 3, 439630.86110000097 3257306.339700001 3, 439618.79119999975 3257330.166400001 3, 439622.3180000008 3257332.092700001 3, 439635.45749999874 3257307.47 3, 439635.4049999992 3257307.4570999993 3, 439635.4570000004 3257307.3592000017 3))",117.91,6.13,439627.03,3257318.73,0.18,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
"POLYGON Z ((440193.53090000007 3257333.515299999 3, 440186.75920000067 3257328.0076 3, 440184.13910000003 3257331.0533999996 3, 440190.9114999997 3257336.6718999995 3, 440193.53090000007 3257333.515299999 3))",35.58,3.37,440188.85,3257332.32,0.05,LWPolyline,重庆市,0,1,215,Continuous,3.0,25,,2019-12-31
